principle_id	topic	frozen_principle	enforcement	enforced_by	criterion_draft
FP-11	Aggregation	A family effect depends on lexicon composition. Aggregation safety is judged by the dominant variant's coefficient share, not by the spread of variant effects or by matrix geometry. A variant effect is a product of competitive fitting rather than a property of the variant, and must not be extrapolated decompositionally to another lexicon composition. Every family-level quantitative statement must state the lexicon version.	PARTIAL	schema.LexiconManifest requires a lexicon_content_hash and compile cannot emit a lexicon without one, so the thing a family-level number must cite now exists; nothing yet checks that a downstream number cites it, and the coefficient-share clause needs validate	(remaining clause) Every family-level quantitative field carries the lexicon identifier (content hash) it was computed under, and every family-level aggregation carries the dominant variant's coefficient share. FAIL if a family-level number is emitted without a lexicon identifier, or if aggregation safety is asserted without the share field.
FP-12	Power	"The downstream evidence axis is underpowered for rare motifs, and its ceiling is set by motif frequency rather than by the analysis method. Compute the affected peak count before deciding; where the count is insufficient, record ""rare, therefore low risk"" and do not issue an equivalence claim that has no power. An effect estimate must clear the sample-size floor; when the interval contains both zero and the reference-point estimate, record NOT_ESTIMABLE_UNDERPOWERED and no direction."	PARTIAL	validate.evaluate_stability computes the affected peak count before any decision and StabilityResult refuses a result below 30 affected peaks that is not LOW_RISK_RARE_NOT_VALIDATED, which mechanises the count-before-deciding clause; the estimability clause is enforced nowhere -- guards.estimability_floor is defined and falsification-tested but has no call site (guards.GUARDS_AWAITING_INPUT), because no stage emits stratified cells carrying an N and a CI against a reference	(remaining clause) Every emitted effect cell carries its N and, where it reports an interval, the reference that interval is read against; a cell whose N is below the preregistered floor, or whose interval contains both zero and that reference, carries NOT_ESTIMABLE_UNDERPOWERED and no direction. FAIL on a cell with no N, on an under-floor cell not marked NOT_ESTIMABLE_UNDERPOWERED, or on a direction read off an interval containing both zero and the reference.
FP-13	Pre-registration	"The parameters of any merge/split decision rule must be written down and checksummed before that pair's result is seen; when the rule returns an answer contrary to the prior, that answer is the conclusion, and the parameters may not be retuned after the fact. When more evidence is needed, change the evidence axis rather than the rule. A rule must also be executable without judgement -- if applying it at read-out time requires a post-hoc explanation (for example, ""any family flips sign"" firing on a near-zero effect), that is equivalent to having made no pre-registration, and the rule must be rewritten in a form carrying a magnitude threshold."	DOC_ONLY	nothing; docs/GOVERNANCE.md states the legality test but no preregistration store exists. RECORDED DESIGN GAP: what evidence earns each MergeConfidence grade is undecided, and schema.MERGE_CONFIDENCE_CRITERIA holds CRITERION_NOT_YET_DEFINED for all three rather than a plausible fill. The alternative was a numeric cut-off, which would have invented a scalar the design does not contain -- and a tier-membership threshold is exactly the parameter this principle says must be written and checksummed by the design, before results are seen, not chosen by an implementer	Every merge/split rule parameter set is stored with a checksum whose recorded timestamp precedes the earliest timestamp of any evidence artifact it reads, and every rule clause is an executable predicate over named fields with an explicit numeric threshold. FAIL if the checksum is missing or later than the evidence, or if any clause carries no magnitude threshold.
FP-14	Paired comparison	The merged-vs-split Δ must be computed on the affected peak subset, and the affected size reported with it; a full-set Δ is reference only and must be labelled as diluted.	PARTIAL	validate.evaluate_stability computes both deltas from strict frozen hit-table identity/coefficient/reconstruction columns, assigns decisions from the affected subset, and refuses interval/equivalence claims below 30 affected peaks. Adapter-specific biological reconstruction methods remain project configuration.	Every merged-vs-split delta carries the count and identifier of the affected subset it was computed over; a full-set delta carries an explicit dilution flag and may not be emitted without its affected-subset twin. FAIL on a delta with no affected-subset identifier, or on a full-set delta reported alone.
FP-15	Statistics	Peak level is primary; positive and negative are kept separate; across models, estimate the effect first and meta-analyse second. Intervals use the BCa paired block bootstrap and p-values the block-level wild cluster bootstrap-t; label permutation is abandoned. Block size, B and the random seed are saved in the same record as the result.	PARTIAL	interpret aggregates to peak level, resamples whole genomic blocks, and saves block size, B and seed alongside every interval; schema.AnalysisConfig refuses between-model heterogeneity below three models; both specified estimators exist (infer.bca_paired_block_interval, infer.wild_cluster_bootstrap_t) and run together under interpret --estimator bca-wild-cluster with INTERVAL_AND_TEST; the DEFAULT estimator is still the percentile block bootstrap, which withholds p and q, and the cross-model effect-then-meta-analysis half is not implemented	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-16	Grammar	Co-occurrence and spacing serve as a screen only; priority pairs are tested by in-silico single/double ablation.	DOC_ONLY	nothing; in-silico ablation is out of scope for this tool, so only the claim-labelling half is checkable here	Every pair-level claim carries an evidence kind of either screen or ablation; a screen-level claim may not carry an interaction estimate or use interaction wording. FAIL if a screen-level claim is phrased as an interaction.
FP-17	Input scale	Every specification is computed on a subset of one and the same full-universe run; the caller is not re-run per specification. Input scale travels with every result as a provenance field. The peak universe is determined and frozen before the specification set is frozen.	PARTIAL	guards.single_scale rejects a result set spanning more than one input scale or missing the field, and provenance.ProvenanceRecord carries input_scale; the ordering clause (universe frozen before the specification set) needs a run orchestrator and is unchecked	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-18	Determinism	Rerun invariance and batch-scale invariance are measured separately; discrete identity and numeric tolerance are gated separately. Neither gate's predicate may be inferred from the other axis's measurement, nor written as == 0 in the absence of a measurement.	DOC_ONLY	nothing; this repository states the two-axis rule in guards/ and LESSONS.md but runs no determinism ladder	The determinism report carries two independently measured values -- a discrete identity count across reruns and a numeric displacement across reruns -- each with its own gate, and neither gate's value is derived from the other's measurement. FAIL if either axis has a gate but no measurement record, or if a predicate is written as a constant without one.
FP-19	Annotation	A variant whose TRIMMED CORE is ≤ 6 bp, or with TomTom q > 0.05 or seqlet count < 100, is flagged, appears by variant_id only, and is reported alongside its chance-occurrence expectation. A layer composed of a single family records its share as NOT_ESTIMABLE.	PARTIAL	guards.short_motif_flag enforces the three flag rules at annotate; the single-family share clause is enforced nowhere -- guards.single_family_layer is defined and falsification-tested but has no call site (guards.GUARDS_AWAITING_INPUT), because interpret.FamilyComposition.peak_share has peaks in its denominator rather than the family layer, so its 1.0 is not the undefined share the guard is about; the two reporting clauses (flagged variants appear only by variant_id, chance expectation shown alongside) are unchecked	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-20	Provenance	Every peak-set analysis declares its selection source and settles its output mode from it; a missing field is handled at the most conservative grade. For a clustering query, the block-level split precedes clustering and assigns whole blocks; the input features of the assignment rule and the outcome quantity have an empty intersection.	PARTIAL	guards.selection_provenance_declared + the interpret dispatch table. 'Most conservative' is read here as DESCRIPTIVE_ONLY_UNVERIFIABLE_CONDITIONING, not EYEBALLED: the report's table naming EYEBALLED as the default for a missing field predates MODEL_SELECTED_NO_TRANSCRIPT, and once a stricter grade exists the old default is no longer the most conservative. The block-split-before-clustering and feature-disjointness clauses are unchecked	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-21	Interaction	Specificity and between-group difference are licensed by an interaction term whose interval excludes zero, and are not derived from the difference between two significance statuses.	DOC_ONLY	nothing runs. guards.interaction_required is defined and falsification-tested but has no call site (guards.GUARDS_AWAITING_INPUT): this release emits per-family effects, not interactions, so no artifact carries a specificity claim for it to read	Every emitted specificity or between-group claim carries an interaction estimate with an interval, that interval excludes zero, and the claim does not name a difference of two significance statuses as its derivation. FAIL if a specificity claim carries no interaction estimate, if its interval contains zero, or if it is derived from two significance statuses.
FP-22	Missingness	Four-state encoding must carry an executable assertion, not merely an entry in a principles table; undefined values use an explicit sentinel, and coverage is computed before any filling.	ENFORCED	schema.Missingness plus schema.MISSING_SENTINEL, which run on every hit row read; guards.four_state_missingness rejects an undefined value collapsed to 0, a row with no state, and a coverage of 1.0 computed after filling, and now HAS a call site: interpret.verify_missingness_against_ledger recomputes defined/total/coverage from the raw missingness column against a substrate.OpportunityLedger written by the program that froze the run, so the claim comes from outside this package and the guard can fail for the reason it exists; it runs only where --opportunity-ledger is supplied, and a run without one is unchecked on this axis	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-23	Governance	A stop condition halts on trigger, is reported at the top, and waits for a human decision; characterisation produced during the halt is labelled CHARACTERISATION_UNDER_HALT. Any after-the-fact change to a sealed criterion must pass the test “could have been written without knowing the result”.	DOC_ONLY	nothing; docs/GOVERNANCE.md states the four-step protocol and the legality test, but enforcing them needs a run orchestrator that can see artifact timestamps across steps	For every halt record, no artifact of a later step carries a timestamp between the halt and the recorded human decision; every conclusion emitted in that window carries CHARACTERISATION_UNDER_HALT; and every edit to a sealed criterion carries a written justification that the change could have been written without knowing the result. FAIL on any later-step artifact inside the window, or on an unlabelled conclusion.
FP-24	Stratification	A stratifying variable that enters an interaction term uses one and the same set of definition rules for all units; a stratification on a different definition serves only as a named sensitivity comparison. The stratification cross-tabulation is produced before any effect result is visible.	PARTIAL	guards.stratum_parity rejects a stratum variable generated by more than one rule but has no call site (guards.GUARDS_AWAITING_INPUT), since no stage emits strata; the ordering clause (cross-tabulation before any effect is visible) has no check, and guards.health_before_effect covers only the health numbers, not the stratum table	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-25	Guards	Every guard ships a proof of failure on a shifted or permuted mapping. A guard that never fails counts as unverified; a guard may not reference its own output, and may not hard-code an upstream row count.	PARTIAL	tests/test_guards.py::test_every_guard_has_a_falsification_test walks guards.ALL_GUARDS and fails if any guard ships without a falsification test; the two authoring clauses (no self-reference, no hard-coded upstream counts) are stated in the guards/ docstring and reviewed by hand, not checked	NOT_APPLICABLE_ENFORCEMENT_EXISTS
